Date,Company,Position,Salary,Years of experience
4/22/2019 14:02:14,STDev,Junior Backend Developer (Python),"150,000",1.5
4/22/2019 16:42:13,XXX,CEO,"200,000",8
4/22/2019 16:45:46,Renderforest,Software Engineer,"700,000",2.5
4/22/2019 17:15:38,Renderforest,UI UX Designer,"714,000",4
4/22/2019 23:14:16,,Backend Developer,"350,000",1
4/23/2019 10:57:40,Synopsys,Engineer Sr. I,"800,000",6
4/23/2019 12:23:44,US based Armenian company,Android developer,"450,000",2.5
4/23/2019 12:24:12,,Android developer,"700,000",3.5
4/26/2019 18:44:48,Energize Global Services,Junior Developer,"500,000",2
4/26/2019 18:44:48,Energize Global Services,Mid-level Developer,"800,000",2
4/26/2019 19:14:48,StDev,Junior Js devloper,"150,000",0.2
4/27/2019 12:31:09,EPAM,Front End Developer,"800,000",4
4/27/2019 21:12:07,,Senior Database Administratior,"1,450,000",17
4/28/2019 22:02:34,Synopsys,R&D Engineer,"660,000",10
5/1/2019 11:41:38,,Business analyst / project manager,"334,000",2
5/1/2019 11:50:47,IUNetworks,Senior Java Developer,"1,500,000",12
5/1/2019 14:35:32,,Frontend Developer,"110,000",4
5/1/2019 14:55:15,,Solution Architect,"1,500,000",10
5/2/2019 10:05:17,Where I should not work for this salary) ,Product Owner,"350,000",5
5/2/2019 15:23:35,WF,Developer,"300,000",2
5/3/2019 10:25:36,SFL,Project Manager,"600,000",2
5/5/2019 14:37:29,,Frontend developer,"415,000",3
5/5/2019 14:39:31,ST-Dev,Backend Developer (Python),"150,000",0
5/6/2019 1:46:47,VMware,Member of Technical Staff 3,"1,400,000",5
5/6/2019 1:48:06,VMware,Member of Technical Staff 3,"1,100,000",5
5/6/2019 13:17:02,,QA,"115,000",1
5/6/2019 19:48:53,BetConstruct,.NET developer,"1,100,000",4
5/6/2019 19:49:16,Dom Daniel,.NET engineer,"1,200,000",5
5/6/2019 19:50:10,BlueNet,Android engineer,"250,000",2
5/6/2019 23:05:14,Instigate,Software engineer ,"300,000",4
5/7/2019 21:49:27,,Programmer,"400,000",4
5/8/2019 10:59:39,Public school,"Teacher, Operator","46,000",16
5/8/2019 11:14:21,Low Cost company,System Administrator,"230,000",0.8
5/8/2019 12:59:08,Greatergood Europe,Software Engineer,"2,700,000",10
5/8/2019 14:42:51,Ayotech,Laravel Developer,"350,000",2
5/8/2019 14:43:57,,ML engineer part time,"200,000",0.5
5/8/2019 14:46:36,AyoTach,Magento developer,"420,000",2.5
5/8/2019 14:55:48,,Product owner,"750,000",4.5
5/8/2019 15:20:46,Parisian Surch Factory,Accountant,"300,000",3
5/9/2019 22:04:20,YEA Engineering,Systems Engineer,"600,000",2
5/10/2019 12:27:28,,Mid-level Software Developer,"400,000",4
5/14/2019 14:11:21,,Senior IT Consultant ,"1,500,000",3
5/14/2019 18:25:39,,QA Engineering Lead,"2,100,000",13
5/14/2019 19:17:57,,QA engineer,"250,000",0.8
5/14/2019 20:52:34,,Mid-level Back End Engineer,"576,000",2.5
5/15/2019 15:55:48,Riot Games ,Senior Data Analyst ,"1,650,000",5
5/15/2019 16:04:12,,Junior Data Analyst,"800,000",1
5/16/2019 18:16:38,,Manual QA,"70,000",0
5/16/2019 21:29:22,IUNetworks,Senior Java Developer,"1,400,000",8
5/17/2019 17:22:20,STDev,Project Manager ,"350,000",3
5/18/2019 15:41:24,Armsoft,Software Developer,"90,000",0
5/23/2019 15:23:35,,Junior PHP Full Stack developer,"220,000",0.4
5/23/2019 22:41:53,Synopsys,R&D engineer 1,"320,000",1
5/26/2019 17:51:19,,Software Engineer,"388,000",8
5/27/2019 10:51:03,Webb Fontaine,Product owner (PO),"900,000",5
5/29/2019 16:51:33,,Senior QA Automation Engineer,"750,000",4.5
5/29/2019 18:34:21,Digitain,Tech Writer,"200,000",2
5/29/2019 18:34:48,Digitain,Product Owner,"350,000",5
5/29/2019 18:35:19,Disqo,Tech Writer,"750,000",7
5/29/2019 18:35:41,OMD,Technical Support ,"1,000,000",15
5/30/2019 0:47:02,Freelance,Software Developer,"2,000,000",12
5/30/2019 10:55:46,HelpSystems,Senior QA,"1,500,000",8
5/30/2019 17:37:46,Synopsys,Sr2 QA,"1,500,000",8
6/1/2019 14:30:17,,Network Administrator,"400,000",4
6/3/2019 20:30:28,STDev Armenia,Backend Developer,"400,000",2
6/8/2019 13:35:28,Where I should not work for this salary as well :),Technical Product Owner,"300,000",2
6/13/2019 11:37:34,Epam Armenia,Java developer L2,"550,000",5
6/15/2019 20:26:28,RA Government,System Administrator,"975,000",3
6/18/2019 17:13:19,IUnetworks ,Java Engineer,"950,000",6
6/21/2019 8:32:13,,HR Assistant ,"150,000",1
6/21/2019 16:36:27,,Junior Node.js Developer,"200,000",1
6/22/2019 10:00:33,Ameriabank,Loan officer,"132,000",2
6/22/2019 13:41:50,,UI/UX designer,"400,000",3.6
6/22/2019 16:33:48,EGS,Business Analyst,"1,000,000",2
6/22/2019 16:34:10,Telcell,Project Manager,"700,000",4
6/22/2019 16:40:38,YerevanResto.am,Project Manager,"250,000",2
6/23/2019 4:44:26,Simply Technologies,Software Engineer,"500,000",3
6/23/2019 5:04:28,,Middle Fullstack node ,"350,000",2
6/25/2019 18:35:22,,Java intern,"110,000",0.4
6/26/2019 18:30:24,,Frontend Developer,"400,000",2
6/28/2019 8:53:04,,Backend deveveloper (php/laravel),"600,000",2
6/29/2019 3:18:59,,Research Engineer,"900,000",4
6/29/2019 3:20:17,Armenian Startup,Senior Software Engineer,"2,400,000",6
7/3/2019 13:47:24,Startup,Android Developer ,"500,000",3
7/6/2019 15:04:53,Webb Fontaine,Java Developer Intern,"120,000",1
7/14/2019 13:22:05,,Product Owner,"1,300,000",6
7/21/2019 23:56:15,MerSoft,Frontend Developer,"220,000",1
7/22/2019 11:07:55,,Android Developer,"600,000",2.1
7/23/2019 16:23:48,Digitain,QA,"200,000",1
7/23/2019 16:28:44,,iOS Developer,"800,000",4
7/23/2019 16:54:26,Zangi,IOS Developer,"55,000",2
7/23/2019 17:21:52,Digitain,PM,"350,000",0
7/26/2019 0:36:16,BetConstruct,Software engineer,"450,000",1.5
7/26/2019 9:29:15,InstigateMobile Cjsc,Software engineer,"250,000",1
8/8/2019 13:03:53,Stdev,Front Developer,"500,000",4
8/13/2019 10:56:39,,Senior QA engineer,"700,000",5
8/14/2019 21:50:36,,Manual QA Engineer,"199,000",1
8/16/2019 23:35:53,BetConstruct,LIVE trader,"250,000",2
8/18/2019 16:52:04,Polymorphic,Middle Web Developer,"250,000",3
8/18/2019 20:36:41,InconceptLabs,iOS developer,"500,000",4
8/29/2019 12:34:39,Instigate Design,Lead Engineer,"2,000,000",10
8/31/2019 16:26:44,Balitech,Senior JTCT Developer,"1,000,000",4
9/6/2019 12:30:26,ԷԿԵՆԳ (Ekeng),Lead IT Specialist,"145,000",1
10/1/2019 20:59:07,Byblosbank armenia ,information security ,"430,000",0
10/1/2019 21:00:10,,android developer ,"760,000",5
10/13/2019 19:35:29,,Data Analyst,"160,000",0.5
10/18/2019 12:45:30,HelpSystems,QA Engineer I,"350,000",1.5
10/25/2019 14:07:14,MG,QA Lead,"1,300,000",9
10/26/2019 19:32:17,Synopsys,QA engineer 2,"420,000",4
10/29/2019 11:03:20,FINCA Armenia,System Administrator,"950,000",5
10/29/2019 11:03:42,Finca,Junior Loan Engineer,"1,450,000",2
10/29/2019 11:04:08,FINCA Armenia,Network Engineer,"750,000",5
10/29/2019 11:04:29,FINCA Armenia ,Tech support,"350,000",2
10/29/2019 11:05:18,FINCA Armenia,DevOPS,"1,250,000",8
10/29/2019 11:06:00,FINCA Armenia,C# Developer,"1,100,000",8
10/29/2019 11:06:42,FINCA Armenia,System Administrator,"950,000",9
11/3/2019 0:45:52,German company,Senior data analist ,"2,800,000",6
11/5/2019 11:49:05,,Senior QA Automation Engineer,"700,000",5
11/11/2019 12:27:58,OMD,C++ Software Engineer,"250,000",0
11/12/2019 7:53:32,InnLine,FrontEnd developer,"400,000",2
11/13/2019 23:02:33,Armsoft ,Senior developer,"680,000",9
11/13/2019 23:03:35,Armsoft,Junior developer,"200,000",1.5
11/14/2019 12:30:28,Questrade ,Software Developer,"2,650,000",6
11/14/2019 16:45:12,RealTime,Network and System administrator,"400,000",6
11/15/2019 5:56:26,freelane,illustrator,"150,000",4
11/15/2019 18:51:36,Freelance,Full stack engineer,"700,000",2
11/19/2019 14:26:41,STDev Armenia,Backend Developer,"650,000",3.5
11/19/2019 14:27:27,STDev Armenia,JS Dev,"600,000",2
11/20/2019 22:22:12,Product owner company,React Developer ,"600,000",2
11/20/2019 22:56:52,PicsArt,Data Scientist,"200,000",1
11/21/2019 13:50:31,,software engineer,"400,000",2
11/21/2019 15:28:13,Telecomunications,IT Project Manager,"300,000",1
11/21/2019 23:50:09,Somewhere no named,Middle iOS Dev,"350,000",2
11/22/2019 16:41:43,Workfront ,Software engineer II,"1,100,000",4
11/27/2019 0:32:16,Teamviewer Armenia,Junior 1,"410,000",1
11/27/2019 0:58:31,BetConstruct,IT Support Specialist ,"300,000",2
11/29/2019 16:05:03,,IT Project Manager,"600,000",2
11/30/2019 15:29:49,Energize Global Services (EGS),Junior Java dev,"120,000",1
12/1/2019 16:30:43,,Android developer,"700,000",3
12/2/2019 12:18:55,,Junior Backend Developer,"200,000",1
12/3/2019 17:57:03,Priotix,Node.js Developer,"800,000",4
12/4/2019 14:07:10,,Software Engineer (Front End),"1,000,000",4
12/4/2019 14:30:49,VMware Armenia,Member of Technical Staff 2,"950,000",4
12/4/2019 16:12:56,,Senior Ruby On Rails Developer,"2,250,000",5
12/5/2019 18:30:28,,Architect,"300,000",11
12/6/2019 12:51:20,,Senior QA Engineer,"820,000",6
12/6/2019 12:52:25,,iOS Developer,"702,778",3
12/6/2019 15:27:50,VMware,Senior MTS,"2,400,000",9
12/7/2019 2:17:15,Epam Systems (Armenia),Middle Software Engineer (JavaScript),"650,000",3
12/9/2019 14:38:42,,UX/UI Designer,"600,000",3
12/9/2019 23:15:42,BetConstruct,mid .Net developer,"750,000",3
12/10/2019 9:24:06,Workfront Armenia,Software Engineer II,"750,000",4
12/10/2019 11:28:46,OMD ,Middle C++ Developer,"500,000",2.5
12/10/2019 12:04:30,Workfront,Product Manager,"1,200,000",4
12/10/2019 13:13:48,Self Employeer,QA Engineer,"128,000",2
12/10/2019 22:59:32,Toptal,Software Engineer,"3,300,000",3
12/12/2019 12:38:29,Picsart,Senior Software Engineer,"100,000",6
12/17/2019 10:07:17,Synopsys Armenia,R&D Engineer II,"570,000",3
12/23/2019 22:24:38,Vmware,Member of technical staff 2,"420,000",3
12/23/2019 23:31:23,Esterox,Front-End,"250,000",2.5
12/24/2019 0:11:04,Digitain,Software Engineer,"700,000",2
12/24/2019 2:18:29,ՀՀՊՆ,դասակի հրամանատար,"250,000",5
12/24/2019 9:17:01,,Web developer,"158,000",1.5
12/24/2019 11:18:20,PicsArt,Community Manager,"500,000",2
12/24/2019 12:29:11,EPAM,L2,"300,000",2
12/24/2019 14:54:06,Datafoundry,Data Scientist,"300,000",1
12/29/2019 10:17:54,,associate project manager,"420,000",1.5
1/2/2020 0:44:10,,Operations manager,"1,100,000",6
1/2/2020 17:32:27,,Senior Software Engineer,"1,300,000",4
1/4/2020 12:19:46,,Senior Java Developer,"1,100,000",5
1/4/2020 13:11:13,Webb Fontaine Armenia ,Junior 1 (Java),"220,000",1
1/4/2020 21:58:38,,Product Owner,"800,000",6
1/8/2020 17:32:30,Synopsys Armenia,Circuit Design Engineer 1,"320,000",2.5
1/9/2020 9:43:15,Seattle Company Branch,Development Lead,"3,300,000",8
1/9/2020 13:35:40,,Software Engineer,"680,000",2
1/10/2020 13:26:18,,Product Manager,"800,000",4
1/10/2020 22:28:37,Start-up,Junior React.js Developer,"300,000",1
1/11/2020 13:15:52,Topsoft Solutions,.NET Developer,"120,000",2
1/11/2020 13:16:45,Betconstruct,.NET Developer,"400,000",2
1/13/2020 16:05:50,,Wordpress Developer,"550,000",4
1/17/2020 17:34:37,EPAM,Senior Frontend engineer,"1,300,000",10
1/25/2020 19:33:15,,C/C++ Developer,"300,000",2
1/30/2020 22:56:21,Bluenet Armenia,.NET engineer,"1,450,000",4
1/30/2020 23:11:48,,FrontEnd developer,"300,000",1.5
1/31/2020 0:33:09,IT company :),Chief Accountant,"300,000",7
1/31/2020 1:28:22,Bet,PHP Developer,"800,000",5
1/31/2020 11:13:07,BetConstruct,Mid level .Net software engineer,"500,000",3
1/31/2020 11:16:36,Evocabank,Software developer,"450,000",4
1/31/2020 21:21:18,Remote,React dev,"1,900,000",6
2/1/2020 14:09:26,,Administrative Manager,"160,000",2
2/1/2020 18:06:07,BetConstruct,SoftWare Engineer,"142,000",0.5
2/1/2020 21:37:36,EGS,Senior Software Developer,"1,200,000",11
2/4/2020 22:40:58,,Product Designer,"1,200,000",9
2/9/2020 15:16:00,,Senior iOS developer,"1,200,000",6
2/9/2020 16:49:03,HelpSystems,Senior Software Engineer,"1,500,000",4
2/19/2020 12:03:40,KSPE,Developer,"200,000",1.5
2/20/2020 16:09:11,Ucom,Technical Support,"180,000",2
2/20/2020 22:54:22,,IT Support Assistant ,"250,000",1
2/22/2020 11:50:49,Mentor Graphics,Software Engineer,"480,000",2.5
2/22/2020 11:51:15,Mentor Graphics,Software Engineer,"630,000",3.5
2/22/2020 11:51:42,Synopsys Armenia,Software Engineer 2,"420,000",2
2/22/2020 11:52:15,TeamViewer Aremenia,Software Developer,"850,000",3.5
2/24/2020 1:43:27,EPAM Systems,Mid-level Javascript developer,"850,000",6
2/26/2020 14:03:08,kspe,front end developer,"200,000",1
3/1/2020 23:57:04,Energize Global Services,Senior Software Engineer,"900,000",7
3/2/2020 13:28:51,"Remote, US based company","Software Engineer (Mobile, mainly iOS)","1,300,000",7
3/4/2020 19:34:23,Freelance,Senior React Native developer,"3,000,000",8
3/4/2020 20:32:53,,QA Automation Engineer,"450,000",0.7
3/5/2020 11:54:22,ayotech ,commercial manager,"478,000",3
3/5/2020 13:38:30,betconstruct,backend developer,"200,000",3
3/5/2020 13:39:04,betconstruct,backend developer,"300,000",2
3/5/2020 13:43:03,instigate design,embedded software engineer,"90,000",1.5
3/8/2020 11:02:33,,Marketing manager,"300,000",2
4/10/2020 23:38:12,Volo,.Net Developet,"400,000",1.5
4/12/2020 12:52:11,Mentor Graphics,Lead engineer,"1,700,000",8
4/12/2020 22:03:37,US based company,Java backend engineer,"1,600,000",9
4/12/2020 23:12:32,Remote German company,Java developer,"1,500,000",6
4/20/2020 18:31:07,Double Coconut,Software Engineer,"900,000",2.5
4/21/2020 17:52:59,Energize Global Services,Project Manager,"700,000",4
4/21/2020 20:35:52,,Automation QA Engineer,"650,000",2
4/22/2020 16:30:17,,Full stack developer,"550,000",4
4/22/2020 22:43:44,,Junior QA Engineer,"250,000",1.3
4/24/2020 22:30:41,Globbing,Customer Happiness Specialist,"105,000",3
4/24/2020 22:31:15,Orange Fitness Premium Club,Doctor,"105,000",1
5/1/2020 13:20:03,IT startup,Software Developer,"320,000",1
5/2/2020 11:48:31,TopSoft,Senior Developer,"750,000",3.5
5/4/2020 16:57:50,EGS,Senior Software Developer,"2,200,000",5
5/9/2020 22:43:50,A contruction company,Head Accountant,"350,000",6
5/13/2020 20:38:49,BetConstruct,IT suppport specialist,"300,000",1
5/13/2020 21:24:48,,Sension Software Developer,"1,300,000",5
5/13/2020 23:07:05,Preezma,Full Stack Software Engineer,"800,000",3
5/15/2020 11:45:29,,Product Owner,"750,000",4
5/16/2020 13:05:40,SoftConstruct,React JS Developer,"330,000",1
5/18/2020 0:27:26,Preezma,Backend Engineer (Node.js),"750,000",2
5/18/2020 21:01:33,AI company,Data Scientist,"250,000",1.5
5/22/2020 14:36:04,BetConstruct,ScrumMaster,"250,000",0.5
5/26/2020 19:54:07,Betconstruct,HelpDesk Specialist (B2B support specilaist),"280,000",1
5/29/2020 18:20:48,,HR Recruiter,"150,000",1
6/1/2020 10:57:37,,Graphic Designer,"55,000",6
6/3/2020 18:07:22,TUMO,Head of Department,"2,000,000",10
6/6/2020 0:07:23,,Front-End Developer,"400,000",1
6/7/2020 23:19:24,,Project Manager,"250,000",1
6/10/2020 16:36:31,PicsArt,Senior Software Engineer,"1,700,000",4
6/10/2020 22:43:52,Intelinair,Senior Developer,"1,200,000",7
6/15/2020 14:55:16,Freelance ,Project Manager ,"1,200,000",5
6/18/2020 15:36:46,Telecommunication ,Senior Business Development Executive,"700,000",7
6/25/2020 16:30:55,Webb Fontaine Holding,Java Software Engineer Junior 2,"450,000",1.5
6/25/2020 20:31:25,,Engineering Manager,"1,300,000",6
6/26/2020 23:38:13,Upwork,TimeTracker  On/Off  Developer,"3,500,000",2
6/30/2020 1:27:10,OMD,C++ software engineer,"1,600,000",8
7/3/2020 16:30:32,CryptoX,Project Manager,"350,000",1.5
7/13/2020 11:27:49,Betconstruct,Software engineer (ReactJS developer),"500,000",3
7/13/2020 14:15:41,PicsArt,Senior Frontend Engineer,"1,400,000",11
7/13/2020 18:21:33,,Software Development Program Manager,"1,400,000",5
7/15/2020 23:30:33,Ginosi,Senior PHP developer,"900,000",8
7/21/2020 0:51:49,Fifth llc,Product Manager,"600,000",4
7/21/2020 14:35:52,,UX Designer,"1,000,000",8
7/22/2020 11:05:08,Hylink,Android developer,"250,000",1.5
7/22/2020 19:49:24,Media,Translator,"200,000",5
7/22/2020 19:49:59,Freelance,Social Media Marketing,"200,000",13
7/29/2020 16:22:04,Praemium,Software Engineer,"600,000",2
7/30/2020 10:43:44,Yerevan City,Consultant,"90,000",3
7/30/2020 15:04:04,Ayotech,Sales Manager,"460,000",3
7/30/2020 19:57:25,Steven-PEI Development AB,Senior Software Engineer,"1,600,000",10
7/30/2020 19:57:57,EPAM Systems,Lead Software Engineer,"1,300,000",9
7/31/2020 19:54:45,,.net developer,"140,000",1
8/1/2020 17:00:14,,Android Developer,"500,000",2
8/4/2020 16:46:13,Dom-Daniel,Junior .NET Developer,"155,000",1
